Sakaka,Hail,Madinah,Riyad,Jeddah,Albaha,Abha,Jazan,Najran,Dammam,Tabuk
3.949,4.3198,4.7542,4.6493,4.985,5.4269,5.61,5.3546,5.5627,3.6883,4.3198
3.985,4.4194,4.8377,4.8302,4.9958,5.3618,5.4562,5.298,5.604,3.5242,4.4194
4.0198,4.1078,4.7765,4.837,4.8886,5.2519,5.5421,5.1602,5.8394,3.863,4.1078
3.9396,4.4158,4.6195,4.9663,4.7004,5.3026,5.497,5.304,5.9419,3.8726,4.4158
3.9398,4.2881,4.5127,4.9649,4.7129,5.1134,5.3957,5.3347,5.7223,4.0008,4.2881
3.8873,4.1978,4.7558,4.9202,4.8302,5.1658,5.447,5.31,5.6386,3.7769,4.1978
3.9674,4.3754,4.9145,4.8053,5.0371,5.3498,5.5776,5.4019,5.7967,3.6718,4.3754
4.1016,4.5199,4.8468,5.053,5.0777,5.383,5.5949,5.3582,5.7439,3.947,4.5199
4.1215,4.5982,5.0506,4.8677,5.3014,5.64,5.7871,5.4252,5.995,4.0166,4.5982
3.6605,4.5929,5.0592,4.9872,5.316,5.5814,5.8582,5.4588,6.0377,3.9115,4.5929
3.2218,4.4916,5.0506,5.0719,5.256,5.6664,5.8174,5.5164,6.0497,3.8899,4.4916
3.2491,4.193,5.0815,4.9092,5.1701,5.6546,5.845,5.3532,6.1126,4.0884,4.193
2.0407,2.5951,4.1417,5.0587,4.8994,5.5303,5.801,5.5522,5.9969,3.9888,2.5951
3.8215,4.3786,4.5403,4.8701,4.4983,5.3287,5.7396,5.4101,5.9268,3.569,4.3786
3.9893,4.4446,4.7035,5.0602,4.787,5.352,5.6546,5.5008,5.8495,4.284,4.4446
3.9334,3.883,4.7237,5.0093,4.9188,5.4101,5.5438,5.4607,5.8342,4.2283,3.883
3.2573,3.5232,3.8486,5.0026,4.7477,5.2961,5.6494,5.478,5.8363,4.1076,3.5232
1.4566,2.3806,3.432,4.77,4.1002,4.7196,5.6453,5.4487,5.8954,3.6125,2.3806
3.9509,4.217,4.4873,4.7458,4.2334,5.0822,5.4322,5.2118,5.7415,3.955,4.217
4.0015,3.8179,3.959,3.9902,2.8637,3.4306,4.6279,5.2342,5.7427,3.4046,3.8179
4.2182,4.0553,5.1607,4.056,5.22,5.1149,4.908,5.2558,5.7408,4.0169,4.0553
4.3978,4.7237,4.9982,4.6762,5.2272,5.3119,5.2582,5.3174,5.7953,3.2542,4.7237
4.302,4.806,4.8612,4.4582,4.8905,4.6303,5.2889,5.137,5.76,4.169,4.806
4.3253,4.7294,5.2714,4.5533,3.6396,4.0718,5.1089,5.1509,5.7852,4.081,4.7294
3.9886,4.9342,5.2963,4.584,5.465,4.1873,4.1719,5.2133,5.6827,2.0304,4.9342
2.627,4.9142,5.4065,4.615,5.4727,5.269,5.3698,4.8346,5.7197,3.6763,4.9142
4.464,4.019,4.3154,4.6068,4.9877,5.0666,5.4934,5.1516,5.7101,3.8978,4.019
4.0894,4.956,4.428,4.4266,4.4014,4.6954,5.143,5.3604,4.9274,4.3212,4.956
4.542,4.8689,4.9771,4.9294,5.1655,5.4912,5.6827,4.7126,5.6702,4.295,4.8689
4.1522,4.3774,5.1242,4.9915,5.3486,5.5577,5.7797,5.3513,5.8985,4.3428,4.3774
3.2407,3.8969,4.8413,5.1886,5.1578,5.3251,5.9105,5.7238,6.0218,4.1071,3.8969
3.7301,3.9953,4.9896,5.1521,5.3599,5.706,5.9033,5.8498,6.1949,3.1778,3.9953
3.965,4.9344,5.0215,5.1689,5.327,5.6707,6.0434,5.8682,6.3269,2.3659,4.9344
4.212,5.047,4.5852,5.2402,5.1384,5.7583,6.0914,5.8366,6.2978,3.054,5.047
2.6981,5.3155,5.5594,4.5134,4.9582,4.7453,5.5111,5.1838,6.2088,2.97,5.3155
3.6744,5.311,5.7458,5.0326,5.8646,5.0578,4.4285,3.6377,5.3664,4.0939,5.311
4.6438,4.9651,5.8202,4.3042,5.8637,6.1382,4.9771,3.3566,5.411,2.0371,4.9651
5.0729,5.395,5.676,5.3606,5.8726,5.0014,3.9454,3.672,5.1046,3.9113,5.395
4.9776,5.3628,5.3306,5.4691,5.6374,4.8017,4.6783,3.7961,4.404,4.7306,5.3628
